email,username,password,age,gender,profilePicture,isInitialLogin
sallysmith@gmail.com,sally_smith,123,25,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
katnisseverdeen13@gmail.com,mockingjay,123,20,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
peetabakesbread@gmail.com,peetamellark,123,20,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
gale@gmail.com,gale,123,20,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
sunidhithakker@gmail.com,sunidhi,123,22,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
devi@gmail.com,devi,123,24,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
oscardv@gmail.com,oscar,123,21,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
skylarwhite@gmail.com,skylarwhite,123,44,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
walterwhite@gmail.com,heisenberg,123,50,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
jordanjones@gmail.com,jj,123,32,Other,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
justinbieber@gmail.com,biebs,123,30,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
taylorswift@gmail.com,taytay,123,34,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
selenagomez@gmail.com,selgo,123,31,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
brunomars@gmail.com,bruno,123,38,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
zendaya@gmail.com,zendaya,123,27,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
tomholland@gmail.com,spiderman,123,27,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
nickjonas@gmail.com,nickj,123,31,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
joejonas@gmail.com,joej,123,34,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
kevinjonas@gmail.com,kevinj,123,36,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
drake@gmail.com,champagnepapi,123,37,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
rihanna@gmail.com,badgalriri,123,36,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
arianagrande@gmail.com,ari,123,30,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
archieandrews@gmail.com,arch,123,22,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
bettycooper@gmail.com,betty,123,22,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
mikewu@gmail.com,mike,123,40,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg,Yes
