Email,Username,Password,Age,Gender,ProfilePicture
sallysmith@gmail.com,sally_smith,123,25,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
katnisseverdeen13@gmail.com,mockingjay,123,20,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
peetabakesbread@gmail.com,peetamellark,123,20,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
gale@gmail.com,gale,123,20,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
sunidhithakker@gmail.com,sunidhi,123,22,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
devi@gmail.com,devi,123,24,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
oscardv@gmail.com,oscar,123,21,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
skylarwhite@gmail.com,skylarwhite,123,44,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
walterwhite@gmail.com,heisenberg,123,50,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
jordanjones@gmail.com,jj,123,32,Other,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
justinbieber@gmail.com,biebs,123,30,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
taylorswift@gmail.com,taytay,123,34,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
selenagomez@gmail.com,selgo,123,31,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
brunomars@gmail.com,bruno,123,38,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
zendaya@gmail.com,zendaya,123,27,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
tomholland@gmail.com,spiderman,123,27,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
nickjonas@gmail.com,nickj,123,31,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
joejonas@gmail.com,joej,123,34,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
kevinjonas@gmail.com,kevinj,123,36,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
drake@gmail.com,champagnepapi,123,37,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
rihanna@gmail.com,badgalriri,123,36,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
arianagrande@gmail.com,ari,123,30,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
archieandrews@gmail.com,arch,123,22,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
bettycooper@gmail.com,betty,123,22,Female,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
mikewu@gmail.com,mike,123,40,Male,https://popcorn-picks.s3.us-west-1.amazonaws.com/default_profile_pic.jpg
